Timestamp,Ampere,Wattage (KwH),PF
2024-08-21 16:06:04,112.400,77.270,0.953
2024-08-21 15:55:26,114.500,78.010,0.947
2024-08-21 16:09:08,114.900,78.460,0.946
2024-08-21 15:45:00,115.400,79.570,8.853
2024-08-21 16:07:05,109.800,75.200,0.949
2024-08-21 15:54:24,109.500,74.540,0.947
2024-08-21 15:56:27,114.800,78.570,0.952
2024-08-21 16:12:16,138.300,95.950,0.961
2024-08-21 15:42:56,108.600,74.660,0.948
2024-08-21 15:57:28,114.500,78.290,0.949
2024-08-21 15:43:57,121.400,84.170,0.958
2024-08-21 16:08:06,0.600,74.390,0.601
